family,code_word,size,cond_strand,cond_wire_dia,metal_od,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,spec,values_from
AAC,Poppy,1/0,7,0.1228,0.368,25,0.8829,75,1.0576,98.9,ASTM B 231,Southwire
AAC,Aster,2/0,7,0.1379,0.414,25,0.7000,75,0.8384,124.8,ASTM B 231,Southwire
AAC,Phlox,3/0,7,0.1548,0.464,25,0.5543,75,0.6652,157.2,ASTM B 231,Southwire
AAC,Oxlip,4/0,7,0.1739,0.522,25,0.4407,75,0.5277,198.4,ASTM B 231,Southwire
AAC,Pansy,1,7,0.1093,0.328,25,1.1128,75,1.3330,78.4,ASTM B 231,Southwire
AAC,Iris,2,7,0.0974,0.292,25,1.4031,75,1.6808,62.2,ASTM B 231,Southwire
AAC,Rose,4,7,0.0772,0.232,25,2.2308,75,2.6725,39.1,ASTM B 231,Southwire
AAC,Peachbell,6,7,0.0612,0.184,25,3.5471,75,4.2493,24.6,ASTM B 231,Southwire
AAC,Sneezewort,250,7,0.1890,0.567,25,0.3733,75,0.4469,234.4,ASTM B 231,Southwire
AAC,Valerian,250,19,0.1147,0.574,25,0.3733,75,0.4469,234.3,ASTM B 231,Southwire
AAC,Daisy,266.8,7,0.1953,0.586,25,0.3499,75,0.4188,250.2,ASTM B 231,Southwire
AAC,Laurel,266.8,19,0.1185,0.593,25,0.3499,75,0.4188,250.1,ASTM B 231,Southwire
AAC,Peony,300,19,0.1257,0.629,25,0.3113,75,0.3726,281.4,ASTM B 231,Southwire
AAC,Tulip,336.4,19,0.1331,0.666,25,0.2779,75,0.3325,315.5,ASTM B 231,Southwire
AAC,Daffodil,350,19,0.1357,0.679,25,0.2672,75,0.3197,327.9,ASTM B 231,Southwire
AAC,Canna,397.5,19,0.1447,0.724,25,0.2355,75,0.2817,372.9,ASTM B 231,Southwire
AAC,Goldentuft,450,19,0.1539,0.769,25,0.2084,75,0.2491,421.8,ASTM B 231,Southwire
AAC,Cosmos,477,19,0.1584,0.793,25,0.197,75,0.235,446.8,ASTM B 231,Ratekit
AAC,Syringa,477,37,0.1135,0.795,25,0.1968,75,0.2352,446.8,ASTM B 231,Southwire
AAC,Hyacinth,500,37,0.1162,0.813,25,0.1879,75,0.2245,468.3,ASTM B 231,Southwire
AAC,Zinnia,500,19,0.1622,0.811,25,0.1879,75,0.2245,468.5,ASTM B 231,Southwire
AAC,Dahlia,556.5,19,0.1711,0.856,25,0.169,75,0.202,521.4,ASTM B 231,Ratekit
AAC,Misteltoe,556.5,37,0.1226,0.858,25,0.1691,75,0.2020,521.3,ASTM B 231,Southwire
AAC,Meadowsweet,600,37,0.1273,0.891,25,0.1571,75,0.1875,562,ASTM B 231,Southwire
AAC,Orchid,636,37,0.1311,0.918,25,0.1485,75,0.1771,596.1,ASTM B 231,Southwire
AAC,Flag,700,61,0.1071,0.964,25,0.1353,75,0.1613,655.8,ASTM B 231,Southwire
AAC,Verbena,700,37,0.1375,0.963,25,0.1353,75,0.1613,655.7,ASTM B 231,Southwire
AAC,Nasturtium,715.5,61,0.1083,0.975,25,0.1325,75,0.1578,670.6,ASTM B 231,Southwire
AAC,Violet,715.5,37,0.1391,0.974,25,0.1325,75,0.1578,671,ASTM B 231,Southwire
AAC,Cattail,750,61,0.1109,0.998,25,0.1266,75,0.1508,703.2,ASTM B 231,Southwire
AAC,Petunia,750,37,0.1424,0.997,25,0.1266,75,0.1508,703.2,ASTM B 231,Southwire
AAC,Arbutus,795,37,0.1466,1.026,25,0.1197,75,0.1425,745.3,ASTM B 231,Southwire
AAC,Lilac,795,61,0.1142,1.028,25,0.1197,75,0.1425,745.7,ASTM B 231,Southwire
AAC,Anemone,874.5,37,0.1538,1.077,25,0.1090,75,0.1298,820.3,ASTM B 231,Southwire
AAC,Crocus,874.5,61,0.1198,1.078,25,0.1090,75,0.1300,820.6,ASTM B 231,Southwire
AAC,Cockscomb,900,37,0.156,1.092,25,0.1064,75,0.1264,844,ASTM B 231,Southwire
AAC,Snapdragon,900,61,0.1215,1.094,25,0.1064,75,0.1264,844,ASTM B 231,Southwire
AAC,Goldenrod,954,61,0.1251,1.126,25,0.1007,75,0.1195,894.8,ASTM B 231,Southwire
AAC,Magnolia,954,37,0.1606,1.124,25,0.1007,75,0.1195,894.5,ASTM B 231,Southwire
AAC,Cameilla,1000,61,0.1280,1.152,25,0.0963,75,0.1142,936.8,ASTM B 231,Southwire
AAC,Hawkweed,1000,37,0.1644,1.150,25,0.0963,75,0.1142,937.3,ASTM B 231,Southwire
AAC,Bluebell,1033.5,37,0.1671,1.170,25,0.0934,75,0.1107,968.3,ASTM B 231,Southwire
AAC,Larkspur,1033.5,61,0.1302,1.172,25,0.0934,75,0.1107,969.2,ASTM B 231,Southwire
AAC,Marigold,1113,61,0.1351,1.216,25,0.0872,75,0.1032,1044,ASTM B 231,Southwire
AAC,Hawthorn,1192.5,61,0.1398,1.258,25,0.0819,75,0.0967,1117,ASTM B 231,Southwire
AAC,Narcissus,1272,61,0.1444,1.300,25,0.0772,75,0.0912,1192,ASTM B 231,Southwire
AAC,Columbine,1351.5,61,0.1488,1.340,25,0.0731,75,0.0861,1266,ASTM B 231,Southwire
AAC,Carnation,1431,61,0.1532,1.379,25,0.0695,75,0.0817,1342,ASTM B 231,Southwire
AAC,Galdious,1510.5,61,0.1574,1.417,25,0.0663,75,0.0778,1417,ASTM B 231,Southwire
AAC,Coreopsis,1590,61,0.1614,1.454,25,0.0634,75,0.0743,1489,ASTM B 231,Ratekit
AAC,Jessamine,1750,61,0.1694,1.525,25,0.0585,75,0.0683,1641,ASTM B 231,Southwire
AAC,Cowslip,2000,91,0.1482,1.630,25,0.0525,75,0.0609,1873,ASTM B 231,Southwire
AAC,Lupine,2500,91,0.1657,1.823,25,0.0446,75,0.0511,2365,ASTM B 231,Southwire
AAC,Trilium,3000,127,0.1537,1.996,25,0.0392,75,0.0445,2840,ASTM B 231,Southwire
