family,code_word,size,cond_strand,core_strand,cond_wire_dia,core_wire_dia,core_od,metal_od,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,values_from
AACSR,266.8 - 26/7,266.8,26,7,0.1013,0.0788,0.2364,0.642,25,0.3980,75,0.4656,250,115.6,Southwire
AACSR,266.8 - 30/7,266.8,30,7,0.0943,0.0943,0.2829,0.66,25,0.3946,75,0.4616,250.6,165.5,Southwire
AACSR,300.0 - 26/7,300.0,26,7,0.1074,0.0835,0.2505,0.68,25,0.3540,75,0.4142,281,129.8,Southwire
AACSR,336.4 - 26/7,336.4,26,7,0.1137,0.0884,0.2652,0.72,25,0.3158,75,0.3694,315,145.4,Southwire
AACSR,336.4 - 30/7,336.4,30,7,0.1059,0.1059,0.3177,0.741,25,0.3131,75,0.3663,316,208.7,Southwire
AACSR,397.5 - 26/7,397.5,26,7,0.1236,0.0961,0.2883,0.783,25,0.2675,75,0.3128,372.2,171.9,Southwire
AACSR,397.5 - 30/7,397.5,30,7,0.1151,0.1151,0.3453,0.806,25,0.2651,75,0.3101,373.3,246.5,Southwire
AACSR,477.0 - 26/7,477.0,26,7,0.1354,0.1053,0.3159,0.858,25,0.2231,75,0.2608,446.7,206.4,Southwire
AACSR,477.0 - 30/7,477.0,30,7,0.1261,0.1261,0.3783,0.883,25,0.2211,75,0.2586,448.1,295.9,Southwire
AACSR,556.5 - 26/7,556.5,26,7,0.1463,0.1138,0.3414,0.927,25,0.1915,75,0.2238,521.5,241,Southwire
AACSR,556.5 - 30/7,556.5,30,7,0.1362,0.1362,0.4086,0.953,25,0.1897,75,0.2218,522.8,345.2,Southwire
AACSR,605.0 - 26/7,605.0,26,7,0.1525,0.1186,0.3558,0.966,25,0.1763,75,0.2060,566.6,261.8,Southwire
AACSR,605.0 - 30/19,605.0,30,19,0.142,0.0852,0.426,0.994,25,0.1748,75,0.2043,568.2,367.4,Southwire
AACSR,605.0 - 30/7,605.0,30,7,0.142,0.142,0.426,0.994,25,0.1746,75,0.2041,568.2,375.3,Southwire
AACSR,636.0 - 26/7,636.0,26,7,0.1564,0.1216,0.3648,0.99,25,0.1678,75,0.1960,596,275.2,Southwire
AACSR,636.0 - 30/19,636.0,30,19,0.1456,0.0874,0.437,1.019,25,0.1663,75,0.1944,597.4,386.6,Southwire
AACSR,636.0 - 30/7,636.0,30,7,0.1456,0.1456,0.4368,1.019,25,0.1662,75,0.1942,597.4,394.5,Southwire
