family,code_word,size,cond_strand,metal_od,tw_layers,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,values_from
AACTW,Logan,322.5,17,0.6,2,25,0.2898,75,0.3468,302.3,Southwire
AACTW,Tulip,336.4,17,0.612,2,25,0.2779,75,0.3325,315.3,Southwire
AACTW,Canna,397.5,17,0.661,2,25,0.2355,75,0.2817,372.6,Southwire
AACTW,Wheeler,449.4,17,0.7,2,25,0.2087,75,0.2494,421.2,Southwire
AACTW,Cosmos,477,17,0.72,2,25,0.1968,75,0.2352,447.1,Southwire
AACTW,Zinnia,500,17,0.736,2,25,0.1879,75,0.2245,468.7,Southwire
AACTW,Mistletoe,556.5,17,0.775,2,25,0.1691,75,0.2020,521.3,Southwire
AACTW,Robson,595.8,17,0.8,2,25,0.1582,75,0.1888,558.4,Southwire
AACTW,Meadowsweet,600,17,0.803,2,25,0.1571,75,0.1875,562.4,Southwire
AACTW,Orchid,636,17,0.825,2,25,0.1485,75,0.1771,596.1,Southwire
AACTW,Verbena,700,17,0.864,2,25,0.1353,75,0.1613,656.1,Southwire
AACTW,Nasturtium,750,17,0.893,2,25,0.1266,75,0.1508,702.1,Southwire
AACTW,McKinley,761.5,17,0.9,2,25,0.1247,75,0.1486,713.7,Southwire
AACTW,Arbutus,795,17,0.919,2,25,0.1197,75,0.1425,745.1,Southwire
AACTW,Cockscomb,900,17,0.99,3,25,0.1064,75,0.1264,843.6,Southwire
AACTW,Rainier,918.8,31,1.000,3,25,0.1043,75,0.1239,861.2,Southwire
AACTW,Magnolia,954,31,1.018,3,25,0.1007,75,0.1195,894.2,Southwire
AACTW,Hawkweed,1000,31,1.041,3,25,0.0963,75,0.1142,937.3,Southwire
AACTW,Bluebell,1033.5,31,1.057,3,25,0.0934,75,0.1107,968.7,Southwire
AACTW,Marigold,1113,31,1.095,3,25,0.0872,75,0.1032,1043.2,Southwire
AACTW,Helens,1123.1,31,1.1,3,25,0.0865,75,0.1023,1052.7,Southwire
AACTW,Hawthorn,1192.5,31,1.132,3,25,0.0819,75,0.0967,1117.7,Southwire
AACTW,Narcissus,1272,31,1.168,3,25,0.0772,75,0.0911,1192.2,Southwire
AACTW,Baker,1346.8,31,1.2,3,25,0.0734,75,0.0864,1262.3,Southwire
AACTW,Columbine,1351.5,31,1.202,3,25,0.0731,75,0.0861,1266.3,Southwire
AACTW,Carnation,1431,31,1.236,3,25,0.0695,75,0.0817,1341.3,Southwire
AACTW,Hood,1583.2,34,1.3,3,25,0.0637,75,0.0746,1483.9,Southwire
AACTW,Coreopsis,1590,49,1.315,4,25,0.0635,75,0.0743,1490.3,Southwire
AACTW,Jessamine,1750,49,1.377,4,25,0.0585,75,0.0683,1640.3,Southwire
AACTW,Whitney,1812.7,49,1.4,4,25,0.0568,75,0.0662,1699.0,Southwire
AACTW,Cowslip,2000,49,1.468,4,25,0.0525,75,0.0609,1893.0,Southwire
AACTW,Powell,2093.6,49,1.5,4,25,0.0510,75,0.0591,1981.6,Southwire
AACTW,Jefferson,2388.1,52,1.6,4,25,0.0461,75,0.0530,2260.3,Southwire
AACTW,Lupine,2500,71,1.648,5,25,0.0446,75,0.0511,2366.2,Southwire
AACTW,Trillium,3000,71,1.799,5,25,0.0392,75,0.0445,2839.5,Southwire
