family,code_word,size,cond_strand,core_strand,core_wire_dia,core_od,metal_od,tw_type,tw_layers,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,values_from
ACSRTW,Merlin,336.4,14,1,0.1367,0.1367,0.63,6,2,25,0.2756,75,0.3298,315.5,49.5,Southwire
ACSRTW,Monongahela,405.1,14,1,0.152,0.152,0.68,6,2,25,0.2291,75,0.2740,379.8,61.2,Southwire
ACSRTW,Flicker,477,18,7,0.094,0.282,0.776,13,2,25,0.1930,75,0.2307,448.4,164.4,Southwire
ACSRTW,Hawk,477,18,7,0.1053,0.3159,0.789,16,2,25,0.1923,75,0.2298,448.7,206.3,Southwire
ACSRTW,Dove,556.5,20,7,0.1138,0.3414,0.852,16,2,25,0.1650,75,0.1972,523.5,241,Southwire
ACSRTW,Parakeet,556.5,18,7,0.1015,0.3045,0.835,13,2,25,0.1657,75,0.1980,523.2,191.7,Southwire
ACSRTW,Calumet,565.3,20,7,0.1146,0.3441,0.858,16,2,25,0.1625,75,0.1941,531,244.8,Southwire
ACSRTW,Mohawk,571.7,18,7,0.103,0.309,0.846,13,2,25,0.1613,75,0.1928,537.3,197.4,Southwire
ACSRTW,Grosbeak,636,20,7,0.1216,0.3648,0.908,16,2,25,0.1446,75,0.1727,598.4,275.1,Southwire
ACSRTW,Rook,636,18,7,0.1085,0.3255,0.89,13,2,25,0.1452,75,0.1735,597.9,219.1,Southwire
ACSRTW,Swift,636,27,1,0.1329,0.1329,0.85,3,3,25,0.1482,75,0.1816,599.2,46.8,Southwire
ACSRTW,Oswego,664.8,20,7,0.1244,0.3732,0.927,16,2,25,0.1385,75,0.1653,625.4,288,Southwire
ACSRTW,Mystic,666.6,20,7,0.1111,0.3333,0.913,13,2,25,0.1387,75,0.1656,626.6,229.7,Southwire
ACSRTW,Wabash,762.8,20,7,0.1331,0.3343,0.99,16,2,25,0.1212,75,0.1446,717,330,Southwire
ACSRTW,Maumee,768.2,20,7,0.1195,0.3585,0.977,13,2,25,0.1207,75,0.1439,722.1,265.7,Southwire
ACSRTW,Nechako,768.9,27,1,0.152,0.152,0.93,3,3,25,0.1232,75,0.1506,720.7,61.2,Southwire
ACSRTW,Condor,795,20,7,0.1213,0.3639,0.993,13,2,25,0.1167,75,0.1392,747.2,273.8,Southwire
ACSRTW,Drake,795,20,7,0.136,0.408,1.01,16,2,25,0.1161,75,0.1386,747.8,344.2,Southwire
ACSRTW,Puffin,795,18,7,0.1108,0.3324,0.98,10,2,25,0.1171,75,0.1396,746.9,228.4,Southwire
ACSRTW,Tern,795,17,7,0.0886,0.2658,0.96,7,2,25,0.1178,75,0.1405,745.9,146.1,Southwire
ACSRTW,Fraser,946.7,35,7,0.1154,0.3462,1.077,10,3,25,0.0995,75,0.1214,894,248,Southwire
ACSRTW,Cardinal,954,20,7,0.1329,0.3987,1.084,13,2,25,0.0977,75,0.1164,897.3,328.7,Southwire
ACSRTW,Phoenix,954,30,7,0.0837,0.2511,1.044,5,3,25,0.0996,75,0.1213,901.6,130.4,Southwire
ACSRTW,Rail,954,32,7,0.0971,0.2913,1.061,7,3,25,0.0993,75,0.1210,900,175,Southwire
ACSRTW,Kettle,957.2,32,7,0.0973,0.2919,1.06,7,3,25,0.0990,75,0.1206,902.8,176.2,Southwire
ACSRTW,Suwannee,959.6,22,7,0.1493,0.4479,1.108,16,2,25,0.0967,75,0.1152,903,415,Southwire
ACSRTW,Columbia,966.2,21,7,0.1338,0.4014,1.092,13,2,25,0.0966,75,0.1150,908,333,Southwire
ACSRTW,Curlew,1033.5,21,7,0.1363,0.4149,1.129,13,2,25,0.0905,75,0.1077,971.1,355.9,Southwire
ACSRTW,Ortolan,1033.5,32,7,0.101,0.303,1.102,7,3,25,0.0920,75,0.1120,975.2,189.8,Southwire
ACSRTW,Snowbird,1033.5,30,7,0.0871,0.2613,1.089,5,3,25,0.0923,75,0.1123,973.8,141.2,Southwire
ACSRTW,Avocet,1113,30,7,0.0904,0.2712,1.129,5,3,25,0.0861,75,0.1045,1048.9,152.1,Southwire
ACSRTW,Bluejay,1113,33,7,0.1049,0.3147,1.143,7,3,25,0.0858,75,0.1042,1052.2,204.8,Southwire
ACSRTW,Finch,1113,38,19,0.0862,0.431,1.185,13,3,25,0.0848,75,0.1032,1052.6,376.4,Southwire
ACSRTW,Genesee,1158,33,7,0.1078,0.3234,1.165,7,3,25,0.0826,75,0.1003,1092,216,Southwire
ACSRTW,Hudson,1158.4,26,7,0.1467,0.4401,1.196,13,2,25,0.0811,75,0.0964,1089,400,Southwire
ACSRTW,Cheyenne,1168.1,30,7,0.0926,0.2778,1.155,5,3,25,0.0823,75,0.0998,1100.4,159.6,Southwire
ACSRTW,Bunting,1192.5,33,7,0.1085,0.3255,1.181,7,3,25,0.0804,75,0.0975,1124,219,Southwire
