family,code_word,size,cond_strand,core_strand,cond_wire_dia,core_wire_dia,core_od,metal_od,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,spec,values_from
ACSS,Junco,266.8,30,7,0.0943,0.0943,0.2829,0.660,25,0.3320,75,0.3991,251.3,165.5,ASTM B 856,Southwire
ACSS,Partridge,266.8,26,7,0.1013,0.0788,0.2364,0.642,25,0.3343,75,0.4019,251.3,115.6,ASTM B 856,Southwire
ACSS,Ostrich,300,26,7,0.1074,0.0835,0.2505,0.680,25,0.2974,75,0.3575,282.5,129.8,ASTM B 856,Southwire
ACSS,Linnet,336.4,26,7,0.1137,0.0884,0.2652,0.720,25,0.2654,75,0.3190,316.6,145.5,ASTM B 856,Southwire
ACSS,Oriole,336.4,30,7,0.1059,0.1059,0.3177,0.741,25,0.2635,75,0.3167,317.7,208.7,ASTM B 856,Southwire
ACSS,WoodCock,336.4,22,7,0.1237,0.0687,0.2061,0.701,25,0.2677,75,0.3218,317.1,87.8,ASTM B 856,Southwire
ACSS,Brant,397.5,24,7,0.1287,0.0858,0.2574,0.772,25,0.2258,75,0.2714,374.4,137,ASTM B 856,Southwire
ACSS,Ibis,397.5,26,7,0.1236,0.0961,0.2883,0.783,25,0.2248,75,0.2701,374.1,171.9,ASTM B 856,Southwire
ACSS,Lark,397.5,30,7,0.1151,0.1151,0.3453,0.806,25,0.2232,75,0.2681,375.3,246.6,ASTM B 856,Southwire
ACSS,Ptarmigan,397.5,20,7,0.141,0.0627,0.1881,0.752,25,0.2277,75,0.2737,374.5,73.2,ASTM B 856,Southwire
ACSS,Flicker,477,24,7,0.141,0.094,0.282,0.846,25,0.1885,75,0.2264,449.4,164.5,ASTM B 856,Southwire
ACSS,Hawk,477,26,7,0.1354,0.1053,0.3159,0.858,25,0.1876,75,0.2253,449,206.4,ASTM B 856,Southwire
ACSS,Hen,477,30,7,0.1261,0.1261,0.3783,0.883,25,0.1862,75,0.2236,450.4,296,ASTM B 856,Southwire
ACSS,Tailorbird,477,20,7,0.1544,0.0686,0.2058,0.824,25,0.1901,75,0.2284,449.1,87.6,ASTM B 856,Southwire
