family,code_word,size,cond_strand,core_strand,core_wire_dia,core_od,metal_od,tw_type,tw_layers,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,spec,values_from
ACSSTW,Linnet,336.4,18,7,0.0884,0.2652,0.659,16,2,25,0.2647,75,0.3181,315.9,145.5,ASTM B 857,Southwire
ACSSTW,Oriole,336.4,16,7,0.1059,0.3177,0.693,23,2,25,0.2622,75,0.3151,316.1,208.7,ASTM B 857,Southwire
ACSSTW,Flicker,477,18,7,0.094,0.282,0.776,13,2,25,0.1877,75,0.2255,447.8,164.4,ASTM B 857,Southwire
ACSSTW,Hawk,477,18,7,0.1053,0.3159,0.789,16,2,25,0.18691,75,0.22493,448.1,206.3,ASTM B 857,Alcan
ACSSTW,Hen,477,16,7,0.1261,0.3783,0.825,23,2,25,0.1852,75,0.2225,448.3,296,ASTM B 857,Southwire
ACSSTW,Parakeet,556.5,18,7,0.1015,0.3045,0.835,13,2,25,0.1612,75,0.1935,522.4,191.7,ASTM B 857,Southwire
ACSSTW,Dove,556.5,20,7,0.1138,0.3414,0.852,16,2,25,0.15998,75,0.19219,522.9,241,ASTM B 857,Alcan
ACSSTW,Calumet,565.3,20,7,0.1146,0.3441,0.858,16,2,25,0.1581,75,0.1898,531.2,244.4,ASTM B 857,Southwire
ACSSTW,Mohawk,571.7,18,7,0.103,0.309,0.846,13,2,25,0.1570,75,0.1884,536.6,197.4,ASTM B 857,Southwire
ACSSTW,Rook,636,18,7,0.1085,0.3255,0.890,13,2,25,0.1413,75,0.1696,597.0,219.1,ASTM B 857,Southwire
ACSSTW,Grosbeak,636,20,7,0.1216,0.3648,0.908,16,2,25,0.14045,75,0.16843,597.6,275.1,ASTM B 857,Alcan
ACSSTW,Scoter,636,18,7,0.1456,0.4368,0.953,23,2,25,0.1393,75,0.1672,597.6,394.6,ASTM B 857,Southwire
ACSSTW,Oswego,664.8,20,7,0.1244,0.3732,0.927,16,2,25,0.1347,75,0.1617,624.6,288,ASTM B 857,Southwire
ACSSTW,Mystic,666.6,20,7,0.1111,0.3333,0.913,13,2,25,0.1349,75,0.1619,625.7,229.7,ASTM B 857,Southwire
ACSSTW,Wabash,762.8,20,7,0.1331,0.3993,0.99,16,2,25,0.1177,75,0.1411,716.7,330,ASTM B 857,Southwire
ACSSTW,Maumee,768.2,20,7,0.1195,0.3585,0.977,13,2,25,0.1174,75,0.1407,721.1,265.7,ASTM B 857,Southwire
ACSSTW,Tern,795,17,7,0.0886,0.2658,0.960,7,2,25,0.1147,75,0.1373,745.2,146.1,ASTM B 857,Southwire
ACSSTW,Puffin,795,18,7,0.1108,0.3324,0.980,10,2,25,0.1139,75,0.1365,745.9,228.4,ASTM B 857,Southwire
ACSSTW,Condor,795,20,7,0.1213,0.3639,0.993,13,2,25,0.1136,75,0.1361,746.3,273.9,ASTM B 857,Southwire
ACSSTW,Drake,795,20,7,0.136,0.408,1.010,16,2,25,0.11246,75,0.13464,747.0,344.2,ASTM B 857,Alcan
ACSSTW,Canary,900,20,7,0.1291,0.3873,1.055,13,3,25,0.1007,75,0.1205,844.9,310.2,ASTM B 857,Southwire
